IATA,Name,City,Country_y,Alpha-2 code
TWA,Twin Hills Airport,Twin Hills,United States of America (the),US
KCQ,Chignik Lake Airport,Chignik Lake,United States of America (the),US
AAF,Apalachicola Regional-Cleve Randolph Field,Apalachicola,United States of America (the),US
ABE,Lehigh Valley International Airport,Allentown,United States of America (the),US
ABI,Abilene Regional Airport,Abilene,United States of America (the),US
ABQ,Albuquerque International Sunport Airport,Albuquerque,United States of America (the),US
ABR,Aberdeen Regional Airport,Aberdeen,United States of America (the),US
ABY,Southwest Georgia Regional Airport,Albany,United States of America (the),US
ACB,Antrim County Airport,Bellaire,United States of America (the),US
ACK,Nantucket Memorial Airport,Nantucket,United States of America (the),US
ACT,Waco Regional Airport,Waco,United States of America (the),US
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,United States of America (the),US
ACY,Atlantic City International Airport,Atlantic City,United States of America (the),US
ADG,Lenawee County Airport,Adrian,United States of America (the),US
ADT,Ada Regional Airport,Ada,United States of America (the),US
ADM,Ardmore Municipal Airport,Ardmore,United States of America (the),US
ADS,Addison Airport,Dallas,United States of America (the),US
ADW,Joint Base Andrews Airport,Camp Springs,United States of America (the),US
AEL,Albert Lea Municipal Airport,Albert Lea,United States of America (the),US
AEX,Alexandria International Airport,Alexandria,United States of America (the),US
AFF,Davis Field (Usaf Academy Field) Airport,Colorado Springs,United States of America (the),US
WSG,Washington County Airport,Washington,United States of America (the),US
AFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,United States of America (the),US
AFO,Afton Municipal Airport,Afton,United States of America (the),US
AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,United States of America (the),US
AGC,Allegheny County Airport,Pittsburgh,United States of America (the),US
AGO,Ralph C Weiser Field,Magnolia,United States of America (the),US
AGS,Augusta Regional At Bush Field,Augusta,United States of America (the),US
AHC,Amedee Army Air Field,Herlong,United States of America (the),US
AHH,Amery Municipal Airport,Amery,United States of America (the),US
AHN,Athens/Ben Epps Airport,Athens,United States of America (the),US
AIA,Alliance Municipal Airport,Alliance,United States of America (the),US
AID,Anderson Municipal-Darlington Field,Anderson,United States of America (the),US
AIK,Aiken Regional Airport,Aiken,United States of America (the),US
AIO,Atlantic Municipal Airport,Atlantic,United States of America (the),US
AIV,George Downer Airport,Aliceville,United States of America (the),US
AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark,United States of America (the),US
AKO,Colorado Plains Regional Airport,Akron,United States of America (the),US
AKC,Akron Fulton International Airport,Akron,United States of America (the),US
ALB,Albany International Airport,Albany,United States of America (the),US
ALI,Alice International Airport,Alice,United States of America (the),US
ALM,Alamogordo-White Sands Regional Airport,Alamogordo,United States of America (the),US
ALN,St Louis Regional Airport,Alton/St Louis,United States of America (the),US
ALO,Waterloo Regional Airport,Waterloo,United States of America (the),US
ALS,San Luis Valley Regional/Bergman Field,Alamosa,United States of America (the),US
ALW,Walla Walla Regional Airport,Walla Walla,United States of America (the),US
ALX,Thomas C Russell Field,Alexander City,United States of America (the),US
AMA,Rick Husband Amarillo International Airport,Amarillo,United States of America (the),US
AMN,Gratiot Community Airport,Alma,United States of America (the),US
AMW,Ames Municipal Airport,Ames,United States of America (the),US
ANB,Anniston Regional Airport,Anniston,United States of America (the),US
AND,Anderson Regional Airport,Anderson,United States of America (the),US
SSM,Sault Ste Marie Municipal/Sanderson Field,Sault Ste Marie,United States of America (the),US
SLT,Salida/Harriett Alexander Field,Salida,United States of America (the),US
ANP,Lee Airport,Annapolis,United States of America (the),US
ANQ,Tri-State Steuben County Airport,Angola,United States of America (the),US
ANW,Ainsworth Regional Airport,Ainsworth,United States of America (the),US
ANY,Anthony Municipal Airport,Anthony,United States of America (the),US
AOH,Lima Allen County Airport,Lima,United States of America (the),US
AOO,Altoona/Blair County Airport,Altoona,United States of America (the),US
APA,Centennial Airport,Denver,United States of America (the),US
APC,Napa County Airport,Napa,United States of America (the),US
APF,Naples Municipal Airport,Naples,United States of America (the),US
APG,Phillips Army Air Field,Aberdeen Proving Grounds (Aberdeen),United States of America (the),US
APH,Mary Walker Lz Airport,Bowling Green,United States of America (the),US
APN,Alpena County Regional Airport,Alpena,United States of America (the),US
APT,Marion County/Brown Field,Jasper,United States of America (the),US
APV,Apple Valley Airport,Apple Valley,United States of America (the),US
AQY,Girdwood Airport,Girdwood,United States of America (the),US
ARA,Acadiana Regional Airport,New Iberia,United States of America (the),US
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States of America (the),US
ARG,Walnut Ridge Regional Airport,Walnut Ridge,United States of America (the),US
WHT,Wharton Regional Airport,Wharton,United States of America (the),US
AUZ,Aurora Municipal Airport,Chicago/Aurora,United States of America (the),US
ART,Watertown International Airport,Watertown,United States of America (the),US
ARV,Lakeland/Noble F Lee Memorial Field,Minocqua-Woodruff,United States of America (the),US
BFT,Beaufort Executive Airport,Beaufort,United States of America (the),US
ASE,Aspen-Pitkin County/Sardy Field,Aspen,United States of America (the),US
SPZ,Springdale Municipal Airport,Springdale,United States of America (the),US
ASH,Boire Field,Nashua,United States of America (the),US
ASL,Harrison County Airport,Marshall,United States of America (the),US
ASN,Talladega Municipal Airport,Talladega,United States of America (the),US
AST,Astoria Regional Airport,Astoria,United States of America (the),US
ASX,John F Kennedy Memorial Airport,Ashland,United States of America (the),US
ASY,Ashley Municipal Airport,Ashley,United States of America (the),US
ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta,United States of America (the),US
ATS,Artesia Municipal Airport,Artesia,United States of America (the),US
ATW,Appleton International Airport,Appleton,United States of America (the),US
ATY,Watertown Regional Airport,Watertown,United States of America (the),US
AUG,Augusta State Airport,Augusta,United States of America (the),US
AUM,Austin Municipal Airport,Austin,United States of America (the),US
AUN,Auburn Municipal Airport,Auburn,United States of America (the),US
AUO,Auburn University Regional Airport,Auburn,United States of America (the),US
AUS,Austin-Bergstrom International Airport,Austin,United States of America (the),US
AUW,Wausau Downtown Airport,Wausau,United States of America (the),US
AVL,Asheville Regional Airport,Asheville,United States of America (the),US
AVO,Avon Park Executive Airport,Avon Park,United States of America (the),US
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,United States of America (the),US
AVW,Marana Regional Airport,Marana,United States of America (the),US
AVX,Catalina Airport,Avalon,United States of America (the),US
AWM,West Memphis Municipal Airport,West Memphis,United States of America (the),US
AXG,Algona Municipal Airport,Algona,United States of America (the),US
AXN,Chandler Field,Alexandria,United States of America (the),US
AXS,Altus/Quartz Mountain Regional Airport,Altus,United States of America (the),US
AXV,Neil Armstrong Airport,Wapakoneta,United States of America (the),US
AXX,Angel Fire Airport,Angel Fire,United States of America (the),US
AYS,Waycross-Ware County Airport,Waycross,United States of America (the),US
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,United States of America (the),US
BAB,Beale Afb Airport,Marysville,United States of America (the),US
BAD,Barksdale Afb Airport,Bossier City,United States of America (the),US
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,United States of America (the),US
CLU,Columbus Municipal Airport,Columbus,United States of America (the),US
BAM,Battle Mountain Airport,Battle Mountain,United States of America (the),US
BBB,Benson Municipal Airport,Benson,United States of America (the),US
BBD,Curtis Field,Brady,United States of America (the),US
BKG,Branson Airport,Branson,United States of America (the),US
BTN,Marlboro County Jetport - H E Avent Field,Bennettsville,United States of America (the),US
BBW,Broken Bow Municipal/Keith Glaze Field,Broken Bow,United States of America (the),US
BCB,Virginia Tech/Montgomery Executive Airport,Blacksburg,United States of America (the),US
BCE,Bryce Canyon Airport,Bryce Canyon,United States of America (the),US
BCT,Boca Raton Airport,Boca Raton,United States of America (the),US
BDE,Baudette International Airport,Baudette,United States of America (the),US
BDG,Blanding Municipal Airport,Blanding,United States of America (the),US
ILL,Willmar Municipal/John L Rice Field,Willmar,United States of America (the),US
BDL,Bradley International Airport,Windsor Locks,United States of America (the),US
BDR,Bridgeport/Sikorsky Airport,Bridgeport,United States of America (the),US
WBU,Boulder Municipal Airport,Boulder,United States of America (the),US
BEC,Beech Factory Airport,Wichita,United States of America (the),US
BED,Laurence G Hanscom Field,Bedford,United States of America (the),US
BEH,Southwest Michigan Regional Airport,Benton Harbor,United States of America (the),US
BFD,Bradford Regional Airport,Bradford,United States of America (the),US
BFF,Western Nebraska Regional/William B Heilig Field,Scottsbluff,United States of America (the),US
BFI,Boeing Field/King County International Airport,Seattle,United States of America (the),US
BFL,Meadows Field,Bakersfield,United States of America (the),US
BFM,Mobile International Airport,Mobile,United States of America (the),US
BFR,Virgil I Grissom Municipal Airport,Bedford,United States of America (the),US
BGD,Hutchinson County Airport,Borger,United States of America (the),US
BGE,Decatur County Industrial Air Park,Bainbridge,United States of America (the),US
BGM,Greater Binghamton/Edwin A Link Field,Binghamton,United States of America (the),US
BGR,Bangor International Airport,Bangor,United States of America (the),US
BHB,Hancock County/Bar Harbor Airport,Bar Harbor,United States of America (the),US
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States of America (the),US
BID,Block Island State Airport,Block Island,United States of America (the),US
BIE,Beatrice Municipal Airport,Beatrice,United States of America (the),US
BIF,Biggs Army Air Field (Fort Bliss) Airport,Fort Bliss/El Paso/,United States of America (the),US
BIH,Bishop Airport,Bishop,United States of America (the),US
BIL,Billings Logan International Airport,Billings,United States of America (the),US
BIS,Bismarck Municipal Airport,Bismarck,United States of America (the),US
BIX,Keesler Afb Airport,Biloxi,United States of America (the),US
BJC,Rocky Mountain Metro Airport,Denver,United States of America (the),US
BJI,Bemidji Regional Airport,Bemidji,United States of America (the),US
BJJ,Wayne County Airport,Wooster,United States of America (the),US
BKD,Stephens County Airport,Breckenridge,United States of America (the),US
BKE,Baker City Municipal Airport,Baker City,United States of America (the),US
BFK,Buckley Space Force Base Airport,Aurora,United States of America (the),US
BKL,Burke Lakefront Airport,Cleveland,United States of America (the),US
BWL,Blackwell-Tonkawa Municipal Airport,Blackwell,United States of America (the),US
BKT,Allen C Perkinson Blackstone Army Air Field,Blackstone,United States of America (the),US
BKW,Raleigh County Memorial Airport,Beckley,United States of America (the),US
BKX,Brookings Regional Airport,Brookings,United States of America (the),US
BLF,Mercer County Airport,Bluefield,United States of America (the),US
BLH,Blythe Airport,Blythe,United States of America (the),US
BLI,Bellingham International Airport,Bellingham,United States of America (the),US
BLM,Monmouth Executive Airport,Belmar/Farmingdale,United States of America (the),US
BLU,Blue Canyon - Nyack Airport,Emigrant Gap,United States of America (the),US
BLV,Scott Afb/Midamerica St Louis Airport,Belleville,United States of America (the),US
BMC,Brigham City Regional Airport,Brigham City,United States of America (the),US
BMG,Monroe County Airport,Bloomington,United States of America (the),US
BMI,Central Il Regional/Bloomington-Normal Airport,Bloomington/Normal,United States of America (the),US
BML,Berlin Regional Airport,Berlin,United States of America (the),US
BMT,Beaumont Municipal Airport,Beaumont,United States of America (the),US
BNA,Nashville International Airport,Nashville,United States of America (the),US
BNG,Banning Municipal Airport,Banning,United States of America (the),US
BNL,Barnwell Regional Airport,Barnwell,United States of America (the),US
BNO,Burns Municipal Airport,Burns,United States of America (the),US
BNW,Boone Municipal Airport,Boone,United States of America (the),US
BOI,Boise Air Trml/Gowen Field,Boise,United States of America (the),US
BOK,Brookings Airport,Brookings,United States of America (the),US
BOS,General Edward Lawrence Logan International Airport,Boston,United States of America (the),US
BOW,Bartow Executive Airport,Bartow,United States of America (the),US
HCA,Big Spring Mc Mahon-Wrinkle Airport,Big Spring,United States of America (the),US
BPI,Miley Memorial Field,Big Piney,United States of America (the),US
WMH,Baxter County Airport,Mountain Home,United States of America (the),US
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,United States of America (the),US
BQK,Brunswick Golden Isles Airport,Brunswick,United States of America (the),US
BRD,Brainerd Lakes Regional Airport,Brainerd,United States of America (the),US
BRL,Southeast Iowa Regional Airport,Burlington,United States of America (the),US
BRO,Brownsville/South Padre Island International Airport,Brownsville,United States of America (the),US
BRY,Samuels Field,Bardstown,United States of America (the),US
BTF,Skypark Airport,Bountiful,United States of America (the),US
BTL,Battle Creek Executive At Kellogg Field,Battle Creek,United States of America (the),US
BTM,Bert Mooney Airport,Butte,United States of America (the),US
TTO,Britton Municipal Airport,Britton,United States of America (the),US
BTP,Pittsburgh/Butler Regional Airport,Butler,United States of America (the),US
BTR,"Baton Rouge Metro, Ryan Field",Baton Rouge,United States of America (the),US
BTV,Patrick Leahy Burlington International Airport,Burlington,United States of America (the),US
BTY,Beatty Airport,Beatty,United States of America (the),US
BUB,Cram Field,Burwell,United States of America (the),US
BUF,Buffalo Niagara International Airport,Buffalo,United States of America (the),US
BUM,Butler Memorial Airport,Butler,United States of America (the),US
BUR,Bob Hope Airport,Burbank,United States of America (the),US
BFP,Beaver County Airport,Beaver Falls,United States of America (the),US
BVO,Bartlesville Municipal Airport,Bartlesville,United States of America (the),US
MVW,Skagit Regional Airport,Burlington/Mount Vernon,United States of America (the),US
BLD,Boulder City Municipal Airport,Boulder City,United States of America (the),US
BVX,Batesville Regional Airport,Batesville,United States of America (the),US
BVY,Beverly Regional Airport,Beverly,United States of America (the),US
BWC,Brawley Municipal Airport,Brawley,United States of America (the),US
BWD,Brownwood Regional Airport,Brownwood,United States of America (the),US
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,United States of America (the),US
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States of America (the),US
WAH,Harry Stern Airport,Wahpeton,United States of America (the),US
BXA,George R Carr Memorial Air Field,Bogalusa,United States of America (the),US
BXK,Buckeye Municipal Airport,Buckeye,United States of America (the),US
NHZ,Brunswick Executive Airport,Brunswick,United States of America (the),US
BYA,Boundary Airport,Boundary,United States of America (the),US
BYG,Johnson County Airport,Buffalo,United States of America (the),US
BYH,Arkansas International Airport,Blytheville,United States of America (the),US
BYI,Burley Municipal Airport,Burley,United States of America (the),US
BYS,Bicycle Lake Army Air Field,Fort Irwin/Barstow,United States of America (the),US
BBC,Bay City Regional Airport,Bay City,United States of America (the),US
BZN,Bozeman Yellowstone International Airport,Bozeman,United States of America (the),US
XES,Grand Geneva Resort Airport,Lake Geneva,United States of America (the),US
CLG,New Coalinga Municipal Airport,Coalinga,United States of America (the),US
CAD,Wexford County Airport,Cadillac,United States of America (the),US
CAE,Columbia Metro Airport,Columbia,United States of America (the),US
CIG,Craig-Moffat Airport,Craig,United States of America (the),US
CAK,Akron-Canton Regional Airport,Akron,United States of America (the),US
CAO,Clayton Municipal Airpark,Clayton,United States of America (the),US
CAR,Caribou Municipal Airport,Caribou,United States of America (the),US
CBE,Greater Cumberland Regional Airport,Cumberland,United States of America (the),US
CBF,Council Bluffs Municipal Airport,Council Bluffs,United States of America (the),US
CBK,Shalz Field,Colby,United States of America (the),US
CBM,Columbus Afb Airport,Columbus,United States of America (the),US
CCB,Cable Airport,Upland,United States of America (the),US
CCR,Buchanan Field,Concord,United States of America (the),US
CCY,Northeast Iowa Regional Airport,Charles City,United States of America (the),US
LLX,Caledonia County Airport,Lyndonville,United States of America (the),US
CDC,Cedar City Regional Airport,Cedar City,United States of America (the),US
CDH,Harrell Field,Camden,United States of America (the),US
CDK,George T Lewis Airport,Cedar Key,United States of America (the),US
CDN,Woodward Field,Camden,United States of America (the),US
CDR,Chadron Municipal Airport,Chadron,United States of America (the),US
CDS,Childress Municipal Airport,Childress,United States of America (the),US
CDW,Essex County Airport,Caldwell,United States of America (the),US
CEA,Cessna Acft Field,Wichita,United States of America (the),US
CEC,Jack Mc Namara Field,Crescent City,United States of America (the),US
CEF,Westover Arb/Metro Airport,Springfield/Chicopee,United States of America (the),US
CEU,Oconee County Regional Airport,Clemson,United States of America (the),US
CEV,Mettel Field,Connersville,United States of America (the),US
CEW,Bob Sikes Airport,Crestview,United States of America (the),US
CEY,Kyle-Oakley Field,Murray,United States of America (the),US
CEZ,Cortez Municipal Airport,Cortez,United States of America (the),US
CFD,Coulter Field,Bryan,United States of America (the),US
TZC,Tuscola Area Airport,Caro,United States of America (the),US
CFT,Greenlee County Airport,Clifton/Morenci,United States of America (the),US
CFV,Coffeyville Municipal Airport,Coffeyville,United States of America (the),US
CGA,Craig Seaplane Base,Craig,United States of America (the),US
CGE,Cambridge-Dorchester Regional Airport,Cambridge,United States of America (the),US
CGF,Cuyahoga County Airport,Cleveland,United States of America (the),US
CGI,Cape Girardeau Regional Airport,Cape Girardeau,United States of America (the),US
CGS,College Park Airport,College Park,United States of America (the),US
CGZ,Casa Grande Municipal Airport,Casa Grande,United States of America (the),US
CHA,Lovell Field,Chattanooga,United States of America (the),US
CHK,Chickasha Municipal Airport,Chickasha,United States of America (the),US
CHO,Charlottesville-Albemarle Airport,Charlottesville,United States of America (the),US
CHP,Circle Hot Springs Airport,Circle Hot Springs,United States of America (the),US
CHS,Charleston Afb/International Airport,Charleston,United States of America (the),US
CIC,Chico Regional Airport,Chico,United States of America (the),US
CID,The Eastern Iowa Airport,Cedar Rapids,United States of America (the),US
CIN,Arthur N Neu Airport,Carroll,United States of America (the),US
CIR,Cairo Regional Airport,Cairo,United States of America (the),US
CIU,Chippewa County International Airport,Sault Ste Marie,United States of America (the),US
CKA,Kegelman Af Aux Field,Cherokee,United States of America (the),US
CKB,North Central West Virginia Airport,Clarksburg,United States of America (the),US
GRM,Grand Marais/Cook County Airport,Grand Marais,United States of America (the),US
CKM,Fletcher Field,Clarksdale,United States of America (the),US
CKN,Crookston Municipal/Kirkwood Field,Crookston,United States of America (the),US
CKU,Cordova Municipal Airport,Cordova,United States of America (the),US
CKV,Outlaw Field,Clarksville,United States of America (the),US
CKX,Chicken Airport,Chicken,United States of America (the),US
CLE,Cleveland-Hopkins International Airport,Cleveland,United States of America (the),US
CLI,Clintonville Municipal Airport,Clintonville,United States of America (the),US
CLK,Clinton Regional Airport,Clinton,United States of America (the),US
CLL,Easterwood Field,College Station,United States of America (the),US
CLM,William R Fairchild International Airport,Port Angeles,United States of America (the),US
CLR,Cliff Hatfield Memorial Airport,Calipatria,United States of America (the),US
CLS,Chehalis-Centralia Airport,Chehalis,United States of America (the),US
CLT,Charlotte/Douglas International Airport,Charlotte,United States of America (the),US
CLW,Clearwater Air Park,Clearwater,United States of America (the),US
CMH,John Glenn Columbus International Airport,Columbus,United States of America (the),US
CMI,University Of Illinois/Willard Airport,Champaign/Urbana,United States of America (the),US
CMX,Houghton County Memorial Airport,Hancock,United States of America (the),US
CMY,Sparta/Fort Mc Coy Airport,Sparta,United States of America (the),US
CNH,Claremont Municipal Airport,Claremont,United States of America (the),US
CNK,Blosser Municipal Airport,Concordia,United States of America (the),US
CNM,Cavern City Air Trml Airport,Carlsbad,United States of America (the),US
CNO,Chino Airport,Chino,United States of America (the),US
CNU,Chanute Martin Johnson Airport,Chanute,United States of America (the),US
CNW,Tstc Waco Airport,Waco,United States of America (the),US
CNY,Canyonlands Regional Airport,Moab,United States of America (the),US
COD,Yellowstone Regional Airport,Cody,United States of America (the),US
COE,Coeur D'Alene/Pappy Boyington Field,Coeur D'Alene,United States of America (the),US
COF,Patrick Space Force Base Airport,Cocoa Beach,United States of America (the),US
COI,Merritt Island Airport,Merritt Island,United States of America (the),US
COM,Coleman Municipal Airport,Coleman,United States of America (the),US
CON,Concord Municipal Airport,Concord,United States of America (the),US
COS,City Of Colorado Springs Municipal Airport,Colorado Springs,United States of America (the),US
COT,Cotulla-La Salle County Airport,Cotulla,United States of America (the),US
COU,Columbia Regional Airport,Columbia,United States of America (the),US
CPM,Compton/Woodley Airport,Compton,United States of America (the),US
CPR,Casper/Natrona County International Airport,Casper,United States of America (the),US
CPS,St Louis Downtown Airport,Cahokia/St Louis,United States of America (the),US
HCW,Cheraw Municipal/Lynch Bellinger Field,Cheraw,United States of America (the),US
CRE,Grand Strand Airport,North Myrtle Beach,United States of America (the),US
CRG,Jacksonville Executive At Craig Airport,Jacksonville,United States of America (the),US
CRP,Corpus Christi International Airport,Corpus Christi,United States of America (the),US
CLD,Mc Clellan-Palomar Airport,Carlsbad,United States of America (the),US
CRS,C David Campbell Field-Corsicana Municipal Airport,Corsicana,United States of America (the),US
CRT,Z M Jack Stell Field,Crossett,United States of America (the),US
CRW,West Virginia International Yeager Airport,Charleston,United States of America (the),US
CRX,Roscoe Turner Airport,Corinth,United States of America (the),US
CSG,Columbus Airport,Columbus,United States of America (the),US
CSM,Clinton/Sherman Airport,Burns Flat,United States of America (the),US
CSQ,Creston Municipal Airport,Creston,United States of America (the),US
CSV,Crossville Memorial-Whitson Field,Crossville,United States of America (the),US
CTB,Cut Bank International Airport,Cut Bank,United States of America (the),US
CTK,Ingersoll Airport,Canton,United States of America (the),US
CTY,Cross City Airport,Cross City,United States of America (the),US
CTZ,Clinton-Sampson County Airport,Clinton,United States of America (the),US
CUB,Jim Hamilton L B Owens Airport,Columbia,United States of America (the),US
CUH,Cushing Municipal Airport,Cushing,United States of America (the),US
CVG,Cincinnati/Northern Kentucky International Airport,Covington,United States of America (the),US
HLI,Hollister Municipal Airport,Hollister,United States of America (the),US
CKK,Sharp County Regional Airport,Ash Flat,United States of America (the),US
CVN,Clovis Regional Airport,Clovis,United States of America (the),US
CVO,Corvallis Municipal Airport,Corvallis,United States of America (the),US
CVS,Cannon Afb Airport,Clovis,United States of America (the),US
CWA,Central Wisconsin Airport,Mosinee,United States of America (the),US
KIP,Kickapoo Downtown Airport,Wichita Falls,United States of America (the),US
CWF,Chennault International Airport,Lake Charles,United States of America (the),US
CWI,Clinton Municipal Airport,Clinton,United States of America (the),US
CXC,Chitina Airport,Chitina,United States of America (the),US
CXL,Calexico International Airport,Calexico,United States of America (the),US
CXO,Conroe/North Houston Regional Airport,Houston,United States of America (the),US
CSN,Carson City Airport,Carson City,United States of America (the),US
HAR,Capital City Airport,Harrisburg,United States of America (the),US
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,United States of America (the),US
CZK,Cascade Locks State Airport,Cascade Locks,United States of America (the),US
CZN,Chisana Airport,Chisana,United States of America (the),US
CZO,Chistochina Airport,Chistochina,United States of America (the),US
CZT,Dimmit County Airport,Carrizo Springs,United States of America (the),US
VEX,Tioga Municipal Airport,Tioga,United States of America (the),US
DJN,Delta Junction Airport,Delta Junction,United States of America (the),US
DAA,Davison Army Air Field,Fort Belvoir,United States of America (the),US
DAB,Daytona Beach International Airport,Daytona Beach,United States of America (the),US
DAG,Barstow-Daggett Airport,Daggett,United States of America (the),US
DAL,Dallas Love Field,Dallas,United States of America (the),US
DAN,Danville Regional Airport,Danville,United States of America (the),US
DAY,James M Cox Dayton International Airport,Dayton,United States of America (the),US
DBN,W H 'Bud' Barron Airport,Dublin,United States of America (the),US
DBQ,Dubuque Regional Airport,Dubuque,United States of America (the),US
DCA,Ronald Reagan Washington Ntl Airport,Washington,United States of America (the),US
DCU,Pryor Field Regional Airport,Decatur,United States of America (the),US
DDC,Dodge City Regional Airport,Dodge City,United States of America (the),US
DEC,Decatur Airport,Decatur,United States of America (the),US
DEH,Decorah Municipal Airport,Decorah,United States of America (the),US
DEN,Denver International Airport,Denver,United States of America (the),US
DET,Coleman A Young Municipal Airport,Detroit,United States of America (the),US
DFI,Defiance Memorial Airport,Defiance,United States of America (the),US
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,United States of America (the),US
DGL,Douglas Municipal Airport,Douglas,United States of America (the),US
DGW,Converse County Airport,Douglas,United States of America (the),US
DHN,Dothan Regional Airport,Dothan,United States of America (the),US
DHT,Dalhart Municipal Airport,Dalhart,United States of America (the),US
DIK,Dickinson/Theodore Roosevelt Regional Airport,Dickinson,United States of America (the),US
DKK,Chautauqua County/Dunkirk Airport,Dunkirk,United States of America (the),US
DLL,Dillon County Airport,Dillon,United States of America (the),US
DLF,Laughlin Afb Airport,Del Rio,United States of America (the),US
DLH,Duluth International Airport,Duluth,United States of America (the),US
DLN,Dillon Airport,Dillon,United States of America (the),US
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,The Dalles,United States of America (the),US
DMA,Davis Monthan Afb Airport,Tucson,United States of America (the),US
DMN,Deming Municipal Airport,Deming,United States of America (the),US
DMO,Sedalia Regional Airport,Sedalia,United States of America (the),US
DNL,Daniel Field,Augusta,United States of America (the),US
DNN,Dalton Municipal Airport,Dalton,United States of America (the),US
DNS,Denison Municipal Airport,Denison,United States of America (the),US
DNV,Vermilion Regional Airport,Danville,United States of America (the),US
DOV,Dover Afb Airport,Dover,United States of America (the),US
DPA,Dupage Airport,Chicago/West Chicago,United States of America (the),US
DPG,Michael Army Air Field (Dugway Proving Ground) Airport,Dugway Proving Ground,United States of America (the),US
DRI,Beauregard Regional Airport,De Ridder,United States of America (the),US
DRE,Drummond Island Airport,Drummond Island,United States of America (the),US
DRO,Durango-La Plata County Airport,Durango,United States of America (the),US
DRT,Del Rio International Airport,Del Rio,United States of America (the),US
DSM,Des Moines International Airport,Des Moines,United States of America (the),US
DSV,Dansville Municipal Airport,Dansville,United States of America (the),US
DTA,Delta Municipal Airport,Delta,United States of America (the),US
DTL,Detroit Lakes/Wething Field,Detroit Lakes,United States of America (the),US
DTN,Shreveport Downtown Airport,Shreveport,United States of America (the),US
DSI,Destin Executive Airport,Destin,United States of America (the),US
DTW,Detroit Metro Wayne County Airport,Detroit,United States of America (the),US
DUA,Durant Regional/Eaker Field,Durant,United States of America (the),US
DUC,Halliburton Field,Duncan,United States of America (the),US
DUG,Bisbee Douglas International Airport,Douglas Bisbee,United States of America (the),US
DUJ,Dubois Regional Airport,Dubois,United States of America (the),US
DVL,Devils Lake Regional Airport,Devils Lake,United States of America (the),US
DVN,Davenport Municipal Airport,Davenport,United States of America (the),US
NOT,Gnoss Field,Novato,United States of America (the),US
NSL,Slayton Municipal Airport,Slayton,United States of America (the),US
DVT,Phoenix Deer Valley Airport,Phoenix,United States of America (the),US
DWH,David Wayne Hooks Memorial Airport,Houston,United States of America (the),US
DXR,Danbury Municipal Airport,Danbury,United States of America (the),US
DYL,Doylestown Airport,Doylestown,United States of America (the),US
DYS,Dyess Afb Airport,Abilene,United States of America (the),US
MIF,Roy Hurd Memorial Airport,Monahans,United States of America (the),US
CCG,Crane County Airport,Crane,United States of America (the),US
ESO,Ohkay Owingeh Airport,Espanola,United States of America (the),US
WTR,Whiteriver Airport,Whiteriver,United States of America (the),US
ALE,Alpine-Casparis Municipal Airport,Alpine,United States of America (the),US
BGT,Bagdad Airport,Bagdad,United States of America (the),US
EAN,Phifer Airfield,Wheatland,United States of America (the),US
EAR,Kearney Regional Airport,Kearney,United States of America (the),US
EAT,Pangborn Memorial Airport,Wenatchee,United States of America (the),US
EAU,Chippewa Valley Regional Airport,Eau Claire,United States of America (the),US
EBS,Webster City Municipal Airport,Webster City,United States of America (the),US
ECG,Elizabeth City Cg Air Station/Regional Airport,Elizabeth City,United States of America (the),US
ECP,Northwest Florida Beaches International Airport,Panama City,United States of America (the),US
ECS,Mondell Field,Newcastle,United States of America (the),US
EDC,Austin Executive Airport,Austin,United States of America (the),US
EDE,Northeastern Regional Airport,Edenton,United States of America (the),US
ETS,Enterprise Municipal Airport,Enterprise,United States of America (the),US
EDW,Edwards Afb Airport,Edwards,United States of America (the),US
EED,Needles Airport,Needles,United States of America (the),US
EEN,Dillant/Hopkins Airport,Keene,United States of America (the),US
EFD,Ellington Airport,Houston,United States of America (the),US
EFK,Northeast Kingdom International Airport,Newport,United States of America (the),US
EFW,Jefferson Municipal Airport,Jefferson,United States of America (the),US
EGE,Eagle County Regional Airport,Eagle,United States of America (the),US
EGI,"Duke Field,(Eglin Af Aux Nr 3) Airport",Crestview,United States of America (the),US
EGV,Eagle River Union Airport,Eagle River,United States of America (the),US
EKA,Murray Field,Eureka,United States of America (the),US
EKI,Elkhart Municipal Airport,Elkhart,United States of America (the),US
EKN,Elkins/Randolph County (Jennings Randolph Field) Airport,Elkins,United States of America (the),US
