IATA,Name,City,Country_y,Alpha-2 code
LMI,Lumi Airport,Lumi,Papua New Guinea,PG
MYX,Menyamya Airport,Menyamya,Papua New Guinea,PG
MAG,Madang Airport,Madang,Papua New Guinea,PG
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,PG
MXK,Mindik Airport,Mindik,Papua New Guinea,PG
GUV,Mougulu Airport,Mougulu,Papua New Guinea,PG
MXH,Moro Airport,Moro,Papua New Guinea,PG
MIS,Misima Island Airport,Misima Island,Papua New Guinea,PG
GBF,Negarbo(Negabo) Airport,Negarbo,Papua New Guinea,PG
MFO,Manguna Airport,Manguna,Papua New Guinea,PG
UKU,Nuku Airport,Nuku,Papua New Guinea,PG
LAE,Lae Nadzab Airport,Nadzab,Papua New Guinea,PG
OSE,Omora Airport,Omora,Papua New Guinea,PG
PDI,Pindiu Airport,Pindiu,Papua New Guinea,PG
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,PG
KMR,Karimui Airport,Karimui,Papua New Guinea,PG
NIS,Simberi Airport,Simberi Island,Papua New Guinea,PG
SIL,Sila Airport,Sila Mission,Papua New Guinea,PG
SIM,Simbai Airport,Simbai,Papua New Guinea,PG
TDS,Sasereme Airport,Sasereme,Papua New Guinea,PG
SKC,Suki Airport,Suki,Papua New Guinea,PG
TIZ,Tari Airport,Tari,Papua New Guinea,PG
TBG,Tabubil Airport,Tabubil,Papua New Guinea,PG
TFM,Telefomin Airport,Telefomin,Papua New Guinea,PG
TPI,Tapini Airport,Tapini,Papua New Guinea,PG
TAJ,Tadji Airport,Aitape,Papua New Guinea,PG
RAB,Tokua Airport,Tokua,Papua New Guinea,PG
TKW,Tekin Airport,Tekin,Papua New Guinea,PG
TFI,Tufi Airport,Tufi,Papua New Guinea,PG
WAO,Wabo Airport,Wabo,Papua New Guinea,PG
WWK,Wewak International Airport,Wewak,Papua New Guinea,PG
WOA,Wonenara Airport,Wonenara,Papua New Guinea,PG
WSU,Wasu Airport,Wasu,Papua New Guinea,PG
WTP,Woitape Airport,Fatima Mission,Papua New Guinea,PG
WUG,Wau Airport,Wau,Papua New Guinea,PG
JEG,Aasiaat Airport,Aasiaat,Greenland,GL
UAK,Narsarsuaq Airport,Narsarsuaq,Greenland,GL
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,GL
GOH,Nuuk Airport,Nuuk,Greenland,GL
JAV,Ilulissat Airport,Ilulissat,Greenland,GL
KUS,Kulusuk Airport,Kulusuk,Greenland,GL
JSU,Maniitsoq Airport,Maniitsoq,Greenland,GL
JFR,Paamiut Airport,Paamiut,Greenland,GL
NAQ,Qaanaaq Airport,Qaanaaq,Greenland,GL
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Greenland,GL
JHS,Sisimiut Airport,Sisimiut,Greenland,GL
THU,Thule Air Base,Thule,Greenland,GL
JUV,Upernavik Airport,Upernavik,Greenland,GL
JQA,Qaarsut Airport,Uummannaq,Greenland,GL
AEY,Akureyri Airport,Akureyri,Iceland,IS
BIU,Bíldudalur Airport,Bíldudalur,Iceland,IS
BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,Iceland,IS
BJD,Bakkafjordur Airport,Bakkafjordur,Iceland,IS
BLO,Hjaltabakki Airport,Blönduós,Iceland,IS
BXV,Breiðdalsvík Airport,Breiðdalsvík,Iceland,IS
DJU,Djúpivogur Airport,Djúpivogur,Iceland,IS
EGS,Egilsstaðir Airport,Egilsstaðir,Iceland,IS
FAG,Fagurhólsmýri Airport,Fagurhólsmýri,Iceland,IS
GUU,Grundarfjörður Airport,Grundarfjörður,Iceland,IS
GJR,Gjögur Airport,Gjögur,Iceland,IS
GRY,Grímsey Airport,Grímsey,Iceland,IS
HVK,Hólmavík Airport,Hólmavík,Iceland,IS
HFN,Hornafjörðu Airport,Höfn,Iceland,IS
FLI,Holt Airport,Flateyri,Iceland,IS
HZK,Húsavík Airport,Húsavík,Iceland,IS
IFJ,Ísafjörður Airport,Ísafjörður,Iceland,IS
KEF,Keflavik International Airport,Reykjavik,Iceland,IS
OPA,Kópasker Airport,Kópasker,Iceland,IS
SAK,Sauðárkrókur Airport,Sauðárkrókur,Iceland,IS
NOR,Norðfjörður Airport,Norðfjörður,Iceland,IS
OFJ,Ólafsfjörður Airport,Ólafsfjörður,Iceland,IS
RHA,Reykholar Airport,Reykholar,Iceland,IS
OLI,Rif Airport,Rif,Iceland,IS
RFN,Raufarhöfn Airport,Raufarhöfn,Iceland,IS
RKV,Reykjavik Airport,Reykjavik,Iceland,IS
MVA,Mývatn Airport,Reykjahlíð,Iceland,IS
SIJ,Siglufjörður Airport,Siglufjörður,Iceland,IS
SYK,Stykkishólmur Airport,Stykkishólmur,Iceland,IS
TEY,Þingeyri (Thingeyri) Airport,Þingeyri,Iceland,IS
THO,Þórshöfn (Thorshofn) Airport,Þórshöfn,Iceland,IS
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,IS
VPN,Vopnafjörður Airport,Vopnafjörður,Iceland,IS
SRF,San Rafael Airport,San Rafael,United States of America (the),US
PYS,Paradise Skypark Airport,Paradise,United States of America (the),US
YZZ,Trail Airport,Trail,Canada,CA
YMB,Merritt Airport,Merritt,Canada,CA
YCA,Courtenay Airpark,Courtenay,Canada,CA
CFQ,Art Sutcliffe Field,Creston,Canada,CA
YAA,Anahim Lake Airport,Anahim Lake,Canada,CA
DGF,Douglas Lake Airport,Douglas Lake,Canada,CA
JHL,Fort MacKay/Albian Aerodrome,Albian Village,Canada,CA
DUQ,Duncan Airport,Duncan,Canada,CA
YHS,Sechelt-Gibsons Airport,Sechelt-Gibsons,Canada,CA
YAD,Moose Lake (Lodge) Airport,Moose Lake,Canada,CA
XQU,Qualicum Beach Airport,Qualicum Beach,Canada,CA
ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,Canada,CA
YTX,Telegraph Creek Airport,Telegraph Creek,Canada,CA
YPB,Port Alberni Airport,Port Alberni,Canada,CA
YBO,Bob Quinn Lake Airport,Bob Quinn Lake,Canada,CA
YWM,Williams Harbour Airport,Williams Harbour,Canada,CA
YSO,Postville Airport,Postville,Canada,CA
YBI,Black Tickle Airport,Black Tickle,Canada,CA
YHG,Charlottetown Airport,Charlottetown,Canada,CA
YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,Canada,CA
YHA,Port Hope Simpson Airport,Port Hope Simpson,Canada,CA
YRG,Rigolet Airport,Rigolet,Canada,CA
DVK,Diavik Airport,Diavik,Canada,CA
YCK,Colville Lake Airport,Colville Lake,Canada,CA
ZFW,Fairview Airport,Fairview,Canada,CA
YJP,Hinton / Jasper-Hinton Airport,Hinton,Canada,CA
YLE,Whati Airport,Whati,Canada,CA
YGC,Grande Cache Airport,Grande Cache,Canada,CA
YDC,Drayton Valley Industrial Airport,Drayton Valley,Canada,CA
NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,Canada,CA
XMP,Macmillan Pass Airport,Macmillan Pass,Canada,CA
DAS,Great Bear Lake Airport,Great Bear Lake,Canada,CA
YFI,Fort Mackay / Firebag,Suncor Energy Site,Canada,CA
YOE,Donnelly Airport,Donnelly,Canada,CA
YDJ,Hatchet Lake Airport,Hatchet Lake,Canada,CA
YDU,Kasba Lake Airport,Kasba Lake,Canada,CA
XCL,Cluff Lake Airport,Cluff Lake,Canada,CA
YKE,Knee Lake Airport,Knee Lake,Canada,CA
SUR,Summer Beaver Airport,Summer Beaver,Canada,CA
YTT,Tisdale Airport,Tisdale,Canada,CA
YAX,Wapekeka Airport,Angling Lake,Canada,CA
WNN,Wunnumin Lake Airport,Wunnumin Lake,Canada,CA
YNO,North Spirit Lake Airport,North Spirit Lake,Canada,CA
YDW,North of Sixty Airport,Obre Lake,Canada,CA
XBE,Bearskin Lake Airport,Bearskin Lake,Canada,CA
YNP,Natuashish Airport,Natuashish,Canada,CA
YPD,Parry Sound Area Municipal Airport,Parry Sound,Canada,CA
XBR,Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,Canada,CA
KIF,Kingfisher Lake Airport,Kingfisher Lake,Canada,CA
YKD,Kincardine Airport,Kincardine,Canada,CA
YOG,Ogoki Post Airport,Ogoki Post,Canada,CA
YEB,Bar River Airport,Bar River,Canada,CA
YHP,Poplar Hill Airport,Poplar Hill,Canada,CA
YSA,Sable Island Landing Strip,Sable Island,Canada,CA
YLS,Lebel-sur-Quevillon Airport,Lebel-sur-Quevillon,Canada,CA
YNX,Snap Lake Airport,Snap Lake,Canada,CA
YKU,Chisasibi Airport,Chisasibi,Canada,CA
ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,Canada,CA
YAU,Donaldson Airport,Kattiniq,Canada,CA
YFG,Fontanges Airport,Fontanges,Canada,CA
ZLT,La Tabatiere Airport,La Tabatiere,Canada,CA
YAC,Cat Lake Airport,Cat Lake,Canada,CA
YAR,La Grande-3 Airport,La Grande-3,Canada,CA
YAG,Fort Frances Municipal Airport,Fort Frances,Canada,CA
YAH,La Grande-4 Airport,La Grande-4,Canada,CA
YAL,Alert Bay Airport,Alert Bay,Canada,CA
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,CA
XKS,Kasabonika Airport,Kasabonika,Canada,CA
YKG,Kangirsuk Airport,Kangirsuk,Canada,CA
YAT,Attawapiskat Airport,Attawapiskat,Canada,CA
YAY,St. Anthony Airport,St. Anthony,Canada,CA
YAZ,Tofino / Long Beach Airport,Tofino,Canada,CA
YBA,Banff Airport,Banff,Canada,CA
YBB,Kugaaruk Airport,Kugaaruk,Canada,CA
YBC,Baie Comeau Airport,Baie-Comeau,Canada,CA
QBC,Bella Coola Airport,Bella Coola,Canada,CA
YBE,Uranium City Airport,Uranium City,Canada,CA
YBY,Bonnyville Airport,Bonnyville,Canada,CA
YBG,CFB Bagotville,Bagotville,Canada,CA
YBK,Baker Lake Airport,Baker Lake,Canada,CA
YBL,Campbell River Airport,Campbell River,Canada,CA
XTL,Tadoule Lake Airport,Tadoule Lake,Canada,CA
YBR,Brandon Municipal Airport,Brandon,Canada,CA
YBT,Brochet Airport,Brochet,Canada,CA
YBV,Berens River Airport,Berens River,Canada,CA
YBX,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada,CA
YRF,Cartwright Airport,Cartwright,Canada,CA
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,CA
YCC,Cornwall Regional Airport,Cornwall,Canada,CA
YCD,Nanaimo Airport,Nanaimo,Canada,CA
YCE,James T. Field Memorial Aerodrome,Centralia,Canada,CA
YCG,Castlegar Airport,Castlegar,Canada,CA
YCH,Miramichi Airport,Miramichi,Canada,CA
XCM,Chatham Kent Airport,Chatham-Kent,Canada,CA
YCL,Charlo Airport,Charlo,Canada,CA
YCN,Cochrane Airport,Cochrane,Canada,CA
YCO,Kugluktuk Airport,Kugluktuk,Canada,CA
YCQ,Chetwynd Airport,Chetwynd,Canada,CA
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,Canada,CA
YCS,Chesterfield Inlet Airport,Chesterfield Inlet,Canada,CA
YCT,Coronation Airport,Coronation,Canada,CA
YCW,Chilliwack Airport,Chilliwack,Canada,CA
YCY,Clyde River Airport,Clyde River,Canada,CA
YCZ,Fairmont Hot Springs Airport,Fairmont Hot Springs,Canada,CA
YDA,Dawson City Airport,Dawson City,Canada,CA
YDB,Burwash Airport,Burwash,Canada,CA
YDF,Deer Lake Airport,Deer Lake,Canada,CA
YDL,Dease Lake Airport,Dease Lake,Canada,CA
XRR,Ross River Airport,Ross River,Canada,CA
YDN,Dauphin Barker Airport,Dauphin,Canada,CA
YDO,Dolbeau Lac-Saint-Jean Airport,Saint-Félicien,Canada,CA
YDP,Nain Airport,Nain,Canada,CA
YDQ,Dawson Creek Airport,Dawson Creek,Canada,CA
YEG,Edmonton International Airport,Edmonton,Canada,CA
YEK,Arviat Airport,Arviat,Canada,CA
YEL,Elliot Lake Municipal Airport,Elliot Lake,Canada,CA
YEM,Manitoulin East Municipal Airport,Manitowaning,Canada,CA
YEN,Estevan Airport,Estevan,Canada,CA
YER,Fort Severn Airport,Fort Severn,Canada,CA
YET,Edson Airport,Edson,Canada,CA
YEU,Eureka Airport,Eureka,Canada,CA
YEV,Inuvik (Mike Zubko) Airport,Inuvik,Canada,CA
YEY,Amos Magny Airport,Amos,Canada,CA
YFA,Fort Albany Airport,Fort Albany,Canada,CA
YFB,Iqaluit Airport,Iqaluit,Canada,CA
YFC,Fredericton International Airport,Fredericton,Canada,CA
YFE,Forestville Airport,Forestville,Canada,CA
YFH,Fort Hope Airport,Fort Hope,Canada,CA
YTM,La Macaza / Mont-Tremblant International Inc Airport,Riviere Rouge,Canada,CA
YFO,Flin Flon Airport,Flin Flon,Canada,CA
YFR,Fort Resolution Airport,Fort Resolution,Canada,CA
YFS,Fort Simpson Airport,Fort Simpson,Canada,CA
YMN,Makkovik Airport,Makkovik,Canada,CA
YGB,Texada Gillies Bay Airport,Texada,Canada,CA
YGH,Fort Good Hope Airport,Fort Good Hope,Canada,CA
YGK,Kingston Airport,Kingston,Canada,CA
YGL,La Grande Riviere Airport,Radisson,Canada,CA
YGM,Gimli Industrial Park Airport,Gimli,Canada,CA
YGO,Gods Lake Narrows Airport,Gods Lake Narrows,Canada,CA
YGP,Gaspe (Michel-Pouliot) Airport,Gaspe,Canada,CA
